Data Point,1_clusters,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
185,0,1,1,1,1,1,1,1,1,1
186,0,0,2,2,1,1,1,4,4,4
187,0,1,1,1,4,4,6,5,5,5
188,0,1,1,3,3,3,4,2,2,2
189,0,1,1,3,1,1,1,1,1,1
190,0,1,1,3,3,3,4,2,2,0
191,0,0,0,0,0,0,0,0,0,9
192,0,1,1,3,3,3,2,5,5,2
193,0,1,1,3,3,3,4,2,2,2
194,0,1,1,3,3,3,2,2,7,2
195,0,1,1,3,3,3,2,1,1,1
196,0,0,2,2,2,0,0,7,7,9
197,0,1,2,3,1,1,1,4,4,4
198,0,0,0,0,0,0,0,0,1,0
199,0,1,1,3,3,3,4,2,2,2
200,0,0,2,2,2,2,3,7,8,8
201,0,1,1,1,4,4,6,5,5,5
202,0,1,1,3,3,3,2,5,7,7
203,0,1,1,3,1,3,2,1,7,7
204,0,1,2,2,2,2,2,7,7,7
205,0,0,2,2,2,2,2,7,7,7
206,0,0,1,3,2,5,5,6,6,6
207,0,1,2,2,2,2,2,7,7,7
208,0,1,2,2,1,1,1,4,4,4
209,0,1,1,1,4,4,6,5,5,3
210,0,0,2,2,2,2,3,7,8,8
211,0,0,0,0,0,0,0,0,0,9
212,0,1,2,1,1,1,1,3,3,5
213,0,0,0,0,0,0,0,0,0,9
214,0,1,1,1,4,4,6,3,3,3
215,0,1,2,2,2,2,2,7,7,7
216,0,1,2,2,1,1,1,4,4,4
217,0,1,1,3,3,3,4,2,2,2
218,0,1,1,3,3,3,4,2,2,2
219,0,1,2,2,2,2,2,7,7,7
220,0,0,0,0,0,0,0,0,0,9
221,0,1,2,2,2,2,3,7,8,8
222,0,1,2,2,1,1,3,1,8,8
223,0,1,1,3,3,3,2,7,2,2
224,0,1,1,1,1,1,1,1,1,1
225,0,1,1,3,3,3,4,2,1,0
226,0,0,0,0,0,0,0,0,0,9
227,0,1,1,1,4,4,6,5,5,5
228,0,0,0,0,0,0,0,0,0,9
229,0,1,1,3,1,3,4,1,1,1
230,0,1,2,2,2,2,3,7,8,8
231,0,1,1,3,3,3,4,2,2,2
232,0,1,1,1,4,4,6,5,3,3
233,0,1,2,2,2,2,2,7,8,2
234,0,1,1,1,4,4,6,5,5,3
235,0,0,2,2,1,1,1,4,4,4
236,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,3,3,2,2,7,0
238,0,1,1,3,3,3,4,5,5,2
239,0,1,1,3,3,3,4,2,2,2
240,0,1,1,3,3,3,4,2,2,2
241,0,1,2,2,1,1,1,1,4,4
242,0,0,0,0,0,0,2,0,7,7
243,0,1,1,3,3,3,4,2,2,2
244,0,1,1,3,3,3,4,2,2,0
245,0,1,2,2,2,2,3,7,8,8
246,0,1,1,3,3,3,4,2,2,2
247,0,1,2,2,2,2,3,7,8,8
248,0,0,0,0,2,5,5,6,6,6
249,0,1,2,2,2,2,2,7,7,7
250,0,1,1,3,3,3,4,2,2,0
251,0,0,2,2,2,2,3,7,8,8
252,0,0,0,2,0,0,0,0,0,9
253,0,1,1,3,1,1,1,1,1,1
254,0,0,2,2,2,2,3,7,8,8
255,0,1,2,2,1,1,1,1,4,4
256,0,1,1,3,3,3,4,2,2,2
257,0,1,1,3,3,3,4,2,2,2
258,0,1,2,1,4,1,6,3,3,5
259,0,1,1,3,3,3,4,2,2,2
260,0,1,1,3,3,3,4,2,2,2
261,0,1,2,2,1,1,2,1,7,7
262,0,1,1,1,4,4,6,5,5,5
263,0,1,1,1,4,4,6,5,5,5
264,0,1,1,1,4,4,6,3,5,3
265,0,1,1,3,3,3,4,1,2,2
266,0,1,2,2,1,1,1,1,1,1
267,0,1,2,2,2,2,2,7,8,8
268,0,1,1,1,4,4,6,3,3,3
269,0,0,2,2,2,5,5,6,6,6
270,0,1,1,3,3,3,4,2,2,2
271,0,1,1,3,3,3,4,1,1,1
272,0,0,0,0,0,0,0,0,0,9
273,0,1,2,2,2,2,2,7,7,7
274,0,1,1,3,3,3,4,2,2,2
275,0,1,1,3,3,3,4,2,2,2
276,0,1,2,3,1,1,1,4,4,4
277,0,1,1,3,3,3,4,2,2,2
278,0,1,1,3,1,3,4,1,1,1
279,0,1,1,3,3,3,4,1,2,2
280,0,1,1,1,4,4,6,5,5,3
281,0,0,0,0,0,0,0,0,0,0
282,0,1,1,3,3,3,4,2,2,2
283,0,0,0,0,0,0,0,0,0,9
284,0,0,0,0,0,5,5,6,6,0
285,0,0,0,0,0,0,0,0,0,0
286,0,1,1,3,3,3,4,2,2,2
287,0,1,1,3,3,3,4,2,2,2
288,0,1,2,2,1,1,1,4,4,4
289,0,1,1,3,3,3,4,2,2,2
290,0,1,1,3,3,3,4,1,1,1
